0.000043534	0.0131467
4.81098E-05	0.013744
0.000118278	0.0205029
0.000321353	0.0319744
0.000873092	0.0498604
0.00237212	0.0777466
0.00644486	0.121116
0.0175102	0.188109
0.0475738	0.28978
0.129255	0.437014
0.351176	0.626008
0.746063	0.769463
1.14395	0.836954
1.54184	0.875111
1.93972	0.899304
2.33761	0.915895
2.7355	0.92795
3.13339	0.937082
3.53127	0.944238
3.92916	0.949993
4.32706	0.954718
4.72495	0.958671
5.12284	0.962025
5.52073	0.964903
5.91861	0.967401
6.3165	0.96959
6.71439	0.971528
7.11228	0.973247
7.51016	0.974792
7.90805	0.976178
8.30594	0.977435
8.70383	0.978578
9.10171	0.979623
9.4996	0.980585
9.89749	0.981463
10.2954	0.982281
10.6933	0.983038
11.0911	0.983735
11.489	0.984386
11.8869	0.984999
12.2848	0.985567
12.6827	0.986105
13.0806	0.986605
13.4785	0.987082
13.8764	0.987528
14.2742	0.987945
14.6721	0.988346
15.07	0.988725
15.4679	0.989081
15.8658	0.989422
16.2637	0.989747
16.6616	0.990058
17.0595	0.990353
17.4573	0.990633
17.8552	0.990898
18.2531	0.991156
18.651	0.991405
19.0489	0.99164
19.4468	0.991867
19.8447	0.992079
20.2426	0.992291
20.6404	0.992496
21.0383	0.992685
21.4362	0.992875
21.8341	0.993049
22.232	0.993223
22.6299	0.993389
23.0278	0.993548
23.4257	0.993707
23.8235	0.993859
24.2214	0.994003
24.6193	0.994147
25.0172	0.994283
25.4151	0.994412
25.813	0.99454
26.2109	0.994662
26.6088	0.994783
27.0066	0.994904
27.4045	0.995017
27.8024	0.995123
28.2003	0.995237
28.5982	0.995335
28.9961	0.995442
29.394	0.99554
29.7919	0.995631
30.1897	0.995729
30.5876	0.99582
30.9855	0.995911
31.3834	0.995994
31.7813	0.996078
